company,taxi_id,is_electric
0118 - 42111 Godfrey S.Awir,b70f4b9ecf75a6f458b2e32e5cc3de7f327c7928dd9e62cf55918b4a972e42a9d45f93901dd08b53fd8fffedabd593ed51c15697549791dcfa557d06683593b5,1
0118 - Godfray S.Awir,b70f4b9ecf75a6f458b2e32e5cc3de7f327c7928dd9e62cf55918b4a972e42a9d45f93901dd08b53fd8fffedabd593ed51c15697549791dcfa557d06683593b5,0
0118 - Godfrey S.Awir,b70f4b9ecf75a6f458b2e32e5cc3de7f327c7928dd9e62cf55918b4a972e42a9d45f93901dd08b53fd8fffedabd593ed51c15697549791dcfa557d06683593b5,1
0694 - 59280 Chinesco Trans Inc,a453337192dd06b18a7b6f2b82ee059225ced9e236333877320832d74c430c305b5b1f1dd32c1bdb14a9816f158fa60d3e9a72bd921d2b0109f622535c5ce088,0
0694 - Chinesco Trans Inc,a453337192dd06b18a7b6f2b82ee059225ced9e236333877320832d74c430c305b5b1f1dd32c1bdb14a9816f158fa60d3e9a72bd921d2b0109f622535c5ce088,0
1085 - 72312 N and W Cab Co,e1a41c8d6d3b0e4aa884ccb8a99f70075f76d82a7f1f5fdb22458603b24e705b13a627fe195e64b0999352c57dd2d374816b9bf3af8af4449ca6642d5b10827b,0
1085 - N and W Cab Co,e1a41c8d6d3b0e4aa884ccb8a99f70075f76d82a7f1f5fdb22458603b24e705b13a627fe195e64b0999352c57dd2d374816b9bf3af8af4449ca6642d5b10827b,0
1247 - 72807 Daniel Ayertey,7677e1d56736b3d9dbca24713dd72384d1fc24e78f3b6451144ccae3ae3283238f46c5cf3685b1a0b24a6a815f8d84487373142669c37206f3c234b5752035d1,0
1247 - Daniel Ayertey,7677e1d56736b3d9dbca24713dd72384d1fc24e78f3b6451144ccae3ae3283238f46c5cf3685b1a0b24a6a815f8d84487373142669c37206f3c234b5752035d1,1
1408 - 89599 Donald Barnes,07f6fa4e48d169ab189829ad0db1693534a26518982d79f57d6a886351ea91c2fb11af29277dd3650d44a8fc675c4022cc25eed9da88996c565f8a2f4e531327,1
1408 - Donald Barnes,07f6fa4e48d169ab189829ad0db1693534a26518982d79f57d6a886351ea91c2fb11af29277dd3650d44a8fc675c4022cc25eed9da88996c565f8a2f4e531327,1
1469 - 64126 Omar Jada,bab9f72c23fb8c0e0cdbbdf97b0d978b9f9cb6d731acaa862197a1469e1a7f290149a32e06254e2bfc3bd0ae7df857633ee38541a25400d2cfe2c8b360fee5bc,0
2092 - 61288 Sbeih company,7c9b9496b28872d456125a7449c7e9dfe32528b375ee5a1d8a5949d849f527064bf80f576f3231cc3a50f47b7db7550964f37156d670811787fbb363c59ed1fe,0
2092 - Sbeih company,7c9b9496b28872d456125a7449c7e9dfe32528b375ee5a1d8a5949d849f527064bf80f576f3231cc3a50f47b7db7550964f37156d670811787fbb363c59ed1fe,1
2192 - 73487 Zeymane Corp,6fd8ebb2c170caf53acc0137fec1d84a602d8df3eb04d1eafc61cded149e94e85a0a7ff632a8312adb574188f2ebac796d2f072d5e6dee99ceb095e2ddc9214a,1
2192 - Zeymane Corp,6fd8ebb2c170caf53acc0137fec1d84a602d8df3eb04d1eafc61cded149e94e85a0a7ff632a8312adb574188f2ebac796d2f072d5e6dee99ceb095e2ddc9214a,1
"2241 - 44667 - Felman Corp, Manuel Alonso",979f3ec5896e22ccc751b2ac8e51b640b39dcef203345ad1ac065d4e0d6a621c9124230347b10a040d2bced69e544b6703d7f03143bd33c257f23307f93c34ca,0
2241 - 44667 Manuel Alonso,979f3ec5896e22ccc751b2ac8e51b640b39dcef203345ad1ac065d4e0d6a621c9124230347b10a040d2bced69e544b6703d7f03143bd33c257f23307f93c34ca,0
2241 - Manuel Alonso,979f3ec5896e22ccc751b2ac8e51b640b39dcef203345ad1ac065d4e0d6a621c9124230347b10a040d2bced69e544b6703d7f03143bd33c257f23307f93c34ca,0
